filepath,filename,label,split,file_hash,speaker_id,file_size,frame_count,fps,duration,width,height
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 4.mp4,pillow 4.mp4,pillow,train,6927710f4ca2e808515d1de6c3635f87,4,376362,55,29.97002997002997,1.8351666666666666,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 14.mp4,doctor 14.mp4,doctor,train,11b2ebdc79074f77c643f3f2ce74307a,14,2249342,33,23.976023976023978,1.376375,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 3.mp4,help 3.mp4,help,train,f33d7cd6d9633b68a8ea5f88944b8207,3,2808594,55,29.97002997002997,1.8351666666666666,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 15.mp4,pillow 15.mp4,pillow,train,9152057bb1ea4d54065a782a2af2b256,15,252212,36,29.97002997002997,1.2012,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 10.mp4,doctor 10.mp4,doctor,train,dc3b98cf4d6664ebf0152b2fc00320f9,10,2249326,43,29.97002997002997,1.4347666666666667,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 4.mp4,doctor 4.mp4,doctor,train,4effc9f6b5da9bc125b77b743967f30c,4,2358969,44,29.97002997002997,1.4681333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 1.mp4,pillow 1.mp4,pillow,train,7224549cad80163de8458b990f87e27e,1,401634,42,29.97002997002997,1.4014,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 5.mp4,doctor 5.mp4,doctor,train,bc02a72c81bc43a26509423a8d6c9bef,5,3809261,74,29.97002997002997,2.469133333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 14.mp4,pillow 14.mp4,pillow,train,9c9142502cfb4a21e7543b499f9fb3ba,14,429556,67,29.97002997002997,2.2355666666666667,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 6.mp4,help 6.mp4,help,train,9713692f27d7e60efa90996b91829358,6,2653404,51,29.97002997002997,1.7017,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 4.mp4,help 4.mp4,help,train,5ab50f3b3546d3b7192f3c2972112bfe,4,1714583,36,29.97002997002997,1.2012,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 19.mp4,glasses 19.mp4,glasses,train,868d2b2c830bc2d50a1989e92f099719,19,2269238,41,29.97002997002997,1.3680333333333334,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 7.mp4,doctor 7.mp4,doctor,train,dc9ad8364c36ace8b1cac7a2208ed380,7,2566809,48,29.97002997002997,1.6016000000000001,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 3.mp4,pillow 3.mp4,pillow,train,a7f56f29dd6d73fb157d9abc7c006ca0,3,345812,48,29.97002997002997,1.6016000000000001,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 2.mp4,pillow 2.mp4,pillow,train,211f8f90c69a68699d4579c57f975620,2,797609,60,29.97002997002997,2.0020000000000002,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 6.mp4,doctor 6.mp4,doctor,train,972c7b01aee6184a67dbef691a91f8c1,6,1654288,30,29.97002997002997,1.0010000000000001,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 18.mp4,glasses 18.mp4,glasses,train,1864e232589550a99d969a49e99ce0e7,18,4380714,86,29.97002997002997,2.8695333333333335,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 12.mp4,doctor 12.mp4,doctor,train,b94af219f703c4341010e17359633e16,12,2924398,56,29.97002997002997,1.8685333333333334,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 17.mp4,pillow 17.mp4,pillow,train,64004655632f120405b608ed4bd056a8,17,382277,37,29.97002997002997,1.2345666666666666,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 5.mp4,help 5.mp4,help,train,a56fa90a98208542c8e1707334ccc7b8,5,1531624,29,29.97002997002997,0.9676333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 16.mp4,help 16.mp4,help,train,152315e56d438f642ebf4b305999ffac,16,4559500,87,29.97002997002997,2.9029000000000003,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 20.mp4,phone 20.mp4,phone,train,157857448b9f67b9bf09ac3d37b22356,20,552726,57,29.97002997002997,1.9019,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 17.mp4,help 17.mp4,help,train,91173a97de0d3c2476d006b7fe202a1a,17,2704820,51,29.97002997002997,1.7017,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 14.mp4,help 14.mp4,help,train,f271d4f42bc0a4de09c8cd02bc89addb,14,2019474,40,29.97002997002997,1.3346666666666667,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 11.mp4,help 11.mp4,help,train,36cc7d7b3b01b2640d74d66d92ca71cb,11,3060605,61,29.97002997002997,2.0353666666666665,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 13.mp4,help 13.mp4,help,train,18b068a9942081f6cd0139a1995407ab,13,2550694,53,29.97002997002997,1.7684333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 18.mp4,phone 18.mp4,phone,train,a3948a57d871c814429cd4b4eb4dba2b,18,4563508,89,29.97002997002997,2.9696333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 19.mp4,phone 19.mp4,phone,train,95a3fb2ca163ea3eed519d289a78179c,19,381231,35,29.97002997002997,1.1678333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 12.mp4,help 12.mp4,help,train,bff194a4cbcbc4ffb956b1b4f2f95369,12,2176247,43,29.97002997002997,1.4347666666666667,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 14.mp4,phone 14.mp4,phone,train,e5a1e4d84e9d591a86abdb83ebe0df61,14,2672812,50,29.97002997002997,1.6683333333333334,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 1.mp4,glasses 1.mp4,glasses,train,ba0cb30567dcffc5ccf7f1645e644e30,1,2550871,48,29.97002997002997,1.6016000000000001,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 20.mp4,help 20.mp4,help,train,4d76e4cb730e8192a12cc37d945fb138,20,3472340,66,29.97002997002997,2.2022,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 3.mp4,glasses 3.mp4,glasses,train,55c4b9d3848a19a26b3c3df11c540921,3,2662071,41,25.0,1.64,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 17.mp4,phone 17.mp4,phone,train,65c279cafdd0ca3a404376c471c8cd5b,17,3306627,62,29.97002997002997,2.0687333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 16.mp4,phone 16.mp4,phone,train,1b54e5a247aeed9c30d4619e5615305f,16,2218051,45,29.97002997002997,1.5015,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 2.mp4,glasses 2.mp4,glasses,train,754fb69b745c43ca88ea7b92fb66d200,2,3739727,81,29.97002997002997,2.7027,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 19.mp4,help 19.mp4,help,train,449596f2b9e2abf10b562dc0559010b2,19,6791476,166,29.97002997002997,5.538866666666666,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 12.mp4,phone 12.mp4,phone,train,40dc3bdb4fca802ddfad84b614947472,12,2707326,55,29.97002997002997,1.8351666666666666,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 6.mp4,glasses 6.mp4,glasses,train,aeba4cd72ff9005b518dda27d92684cd,6,2893865,54,29.97002997002997,1.8018,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 13.mp4,phone 13.mp4,phone,train,7f46c835f4166a21f3acd31754dcf818,13,3489900,67,29.97002997002997,2.2355666666666667,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 18.mp4,help 18.mp4,help,train,eba957adf7654189f50e1921a6f753ad,18,3699320,71,29.97002997002997,2.3690333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 11.mp4,phone 11.mp4,phone,train,3458c016988a67c28ba677cd6936e2c0,11,1994364,57,29.97002997002997,1.9019,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 5.mp4,glasses 5.mp4,glasses,train,cdc79c4cc1665d389a2d68e747752f52,5,3760069,60,25.0,2.4,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 4.mp4,glasses 4.mp4,glasses,train,1851037717bfd525e710709eaf2fb7af,4,2379304,38,25.0,1.52,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 10.mp4,phone 10.mp4,phone,train,b4ceb8edce5333583c11acf70bf7ddc3,10,2200678,44,29.97002997002997,1.4681333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 15.mp4,glasses 15.mp4,glasses,train,fe7aa498e29752d5399bccb589f18e74,15,2796374,56,29.97002997002997,1.8685333333333334,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 1.mp4,phone 1.mp4,phone,train,9aebf0cc7a5ead74935efa81ba9a1d21,1,2003428,36,29.97002997002997,1.2012,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 14.mp4,glasses 14.mp4,glasses,train,1fef8967743097d47481c32020fc8e01,14,3340722,64,29.97002997002997,2.135466666666667,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 19.mp4,pillow 19.mp4,pillow,train,383fc3320637dd2e5c1789050deba4c6,19,744245,65,29.97002997002997,2.168833333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 16.mp4,glasses 16.mp4,glasses,train,2257d5a7ce69a98d8e15d50202c5cf24,16,2626278,53,29.97002997002997,1.7684333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 2.mp4,phone 2.mp4,phone,train,fb59c8c9d9c4316b8a3ec5190f54b046,2,2781536,53,29.97002997002997,1.7684333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 8.mp4,doctor 8.mp4,doctor,train,5675d94a78d727a4e988cbcdc3dda209,8,2325810,44,29.97002997002997,1.4681333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 9.mp4,doctor 9.mp4,doctor,train,37cdff020bf1a6ad928e4ea203a3792f,9,2475472,47,29.97002997002997,1.5682333333333334,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 3.mp4,phone 3.mp4,phone,train,3953685811413ecfb23b652f5df79756,3,2683744,51,29.97002997002997,1.7017,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 18.mp4,pillow 18.mp4,pillow,train,f5c94393ae6a7c35f269cab72be32dd6,18,634301,62,29.97002997002997,2.0687333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 19.mp4,doctor 19.mp4,doctor,train,e42d7dbdaed5918b51febf6b3ca5a5f4,19,1860334,35,29.97002997002997,1.1678333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 20.mp4,pillow 20.mp4,pillow,train,ab7edb5334748fb80045efc5b03804a1,20,858319,59,29.97002997002997,1.9686333333333335,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 13.mp4,glasses 13.mp4,glasses,train,40f8c26c82ce3760575aab2b7bff8c49,13,1955093,62,29.97002997002997,2.0687333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 7.mp4,phone 7.mp4,phone,train,6eb078611cdb4a7851c741ec448fb496,7,2690715,52,29.97002997002997,1.7350666666666668,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 9.mp4,pillow 9.mp4,pillow,train,c4279b268f89e5559c06579671889453,9,491720,45,29.97002997002997,1.5015,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 8.mp4,pillow 8.mp4,pillow,train,deeb3a0f588b063d056d1626cdaef23f,8,595095,63,29.97002997002997,2.1021,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 6.mp4,phone 6.mp4,phone,train,2063ef2979430aa04b59b8eaf70d7b46,6,2441226,46,29.97002997002997,1.5348666666666666,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 12.mp4,glasses 12.mp4,glasses,train,9020d6e002045bde7cac1735766d3d00,12,3846439,77,29.97002997002997,2.5692333333333335,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 18.mp4,doctor 18.mp4,doctor,train,c2c439fee2db339432df3daffbe70ad2,18,2344473,44,29.97002997002997,1.4681333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 4.mp4,phone 4.mp4,phone,train,53c54e27ef8c4893617524f1ccb25cdb,4,2042758,40,29.97002997002997,1.3346666666666667,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/phone 5.mp4,phone 5.mp4,phone,train,9a5a713b2e50d571ee83ac91481adabb,5,2255019,42,29.97002997002997,1.4014,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 11.mp4,glasses 11.mp4,glasses,train,56a0240fe7d7eacc89d5116385848703,11,3262459,63,29.97002997002997,2.1021,1280,720
/Users/client/Desktop/VAL SET/phone 8.mp4,phone 8.mp4,phone,val,79bd3cc9acd694089b775227884bb1a1,8,2313451,43,29.97002997002997,1.4347666666666667,1280,720
/Users/client/Desktop/VAL SET/doctor 2.mp4,doctor 2.mp4,doctor,val,d55b831980f4bf603e29c4abf07d5579,2,2987614,57,29.97002997002997,1.9019,1280,720
/Users/client/Desktop/VAL SET/pillow 10.mp4,pillow 10.mp4,pillow,val,fee1bbaceeb1823f3ae7f3ccbcc89c21,10,495438,48,29.97002997002997,1.6016000000000001,1280,720
/Users/client/Desktop/VAL SET/help 7.mp4,help 7.mp4,help,val,55b1a17853544dbdf65f46703819b8d4,7,2183204,41,29.97002997002997,1.3680333333333334,1280,720
/Users/client/Desktop/VAL SET/doctor 11.mp4,doctor 11.mp4,doctor,val,fdf24d400eebf0f5a0c62ccfd1c0c39f,11,2071593,39,29.97002997002997,1.3013000000000001,1280,720
/Users/client/Desktop/VAL SET/pillow 16.mp4,pillow 16.mp4,pillow,val,bb61e2e839e347e2542351e4c6639c82,16,323822,55,29.97002997002997,1.8351666666666666,1280,720
/Users/client/Desktop/VAL SET/glasses 9.mp4,glasses 9.mp4,glasses,val,6bd3009b684395c16d599ecddabaa01a,9,1918189,37,29.97002997002997,1.2345666666666666,1280,720
/Users/client/Desktop/VAL SET/phone 15.mp4,phone 15.mp4,phone,val,47c4328fd8a61fad0d0bcc3915d87668,15,2909605,57,29.97002997002997,1.9019,1280,720
/Users/client/Desktop/VAL SET/glasses 7.mp4,glasses 7.mp4,glasses,val,2e96dc43660a4f37a8ff97d81a3f6b47,7,2339672,44,29.97002997002997,1.4681333333333333,1280,720
/Users/client/Desktop/VAL SET/help 9.mp4,help 9.mp4,help,val,dcb98515cd7da0a3d7c784409a21d6e7,9,2096878,40,29.97002997002997,1.3346666666666667,1280,720
/Users/client/Desktop/VAL SET/glasses 17.mp4,glasses 17.mp4,glasses,val,c078e0b9242da08aeec479702eb1ab9c,17,2687395,50,29.97002997002997,1.6683333333333334,1280,720
/Users/client/Desktop/TEST SET/doctor 3.mp4,doctor 3.mp4,doctor,test,1f8cd35d25d8df349f53d7f2dd700d2d,3,3279054,62,29.97002997002997,2.0687333333333333,1280,720
/Users/client/Desktop/TEST SET/phone 9.mp4,phone 9.mp4,phone,test,55c13032554d555165233fdc93b0afa0,9,2471526,46,29.97002997002997,1.5348666666666666,1280,720
/Users/client/Desktop/TEST SET/pillow 11.mp4,pillow 11.mp4,pillow,test,5e1dc06441a9c7600726f2c952d7e240,11,600758,53,29.97002997002997,1.7684333333333333,1280,720
/Users/client/Desktop/TEST SET/doctor 13.mp4,doctor 13.mp4,doctor,test,37e089bb09b9bea7389035156c4be1a9,13,1806396,34,29.97002997002997,1.1344666666666667,1280,720
/Users/client/Desktop/TEST SET/glasses 8.mp4,glasses 8.mp4,glasses,test,d8cde4a69734f548287d11591d21f165,8,2313369,43,29.97002997002997,1.4347666666666667,1280,720
/Users/client/Desktop/TEST SET/help 15.mp4,help 15.mp4,help,test,c31f9255685a4680bb3d22f0d2b2662c,15,2218467,44,29.97002997002997,1.4681333333333333,1280,720
/Users/client/Desktop/TEST SET/help 10.mp4,help 10.mp4,help,test,2a2e4fc254c9ed8ac3373c6be306af35,10,2024994,38,29.97002997002997,1.2679333333333334,1280,720
/Users/client/Desktop/TEST SET/help 8.mp4,help 8.mp4,help,test,85f67333ba79b0f3d7b0468c98a75e0b,8,1883475,37,29.97002997002997,1.2345666666666666,1280,720
/Users/client/Desktop/TEST SET/doctor 20.mp4,doctor 20.mp4,doctor,test,4c78d70b1945a4fbae5040daac59f87d,20,2656537,46,29.97002997002997,1.5348666666666666,1280,720
/Users/client/Desktop/TEST SET/glasses 10.mp4,glasses 10.mp4,glasses,test,92b5a9afe33c6e0c92bb2f868a2ca3e4,10,1951290,35,29.97002997002997,1.1678333333333333,1280,720
